0, 1 0 -0.15441 -0.338666 1.714792 0.048896 -0.332951 1.837174 -0.016778 -0.160668 1.889091;
1, 1 0 -0.116909 -0.369226 1.735386 0.048882 -0.333253 1.837339 -0.016622 -0.160777 1.888999;
2, 1 0 -0.112157 -0.37699 1.73606 0.052926 -0.332681 1.838865 -0.016711 -0.159832 1.888926;
3, 1 0 -0.10631 -0.402854 1.731299 0.066893 -0.341237 1.836862 -0.017185 -0.157328 1.888231;
4, 1 0 -0.105347 -0.401078 1.731649 0.07293 -0.344168 1.83852 -0.017407 -0.156463 1.887747;
5, 1 0 -0.114054 -0.378581 1.727525 0.069891 -0.34066 1.841399 -0.017435 -0.155761 1.887382;
6, 1 0 -0.110324 -0.372414 1.731546 0.072473 -0.343003 1.841143 -0.017498 -0.155375 1.887129;
7, 1 0 -0.102341 -0.372668 1.741737 0.070491 -0.340766 1.843657 -0.017471 -0.155309 1.887062;
8, 1 0 -0.098759 -0.383409 1.745078 0.074336 -0.347066 1.841337 -0.01746 -0.155301 1.887087;
9, 1 0 -0.09691 -0.418087 1.739432 0.075086 -0.348002 1.840744 -0.017437 -0.155292 1.887115;
10, 1 0 -0.096432 -0.418772 1.740138 0.074453 -0.343134 1.84732 -0.017453 -0.155113 1.887193;
11, 1 0 -0.095098 -0.415468 1.743168 0.07343 -0.340222 1.851328 -0.017999 -0.152012 1.887072;
12, 1 0 -0.095441 -0.407299 1.744802 0.072982 -0.337506 1.855649 -0.017755 -0.150447 1.887015;
13, 1 0 -0.096161 -0.40387 1.745983 0.072664 -0.335952 1.857771 -0.018015 -0.148883 1.88698;
14, 1 0 -0.096076 -0.402857 1.74682 0.072963 -0.331062 1.861672 -0.017964 -0.148311 1.887086;
15, 1 0 -0.094922 -0.405568 1.749059 0.078921 -0.341672 1.853988 -0.017932 -0.147685 1.887341;
16, 1 0 -0.092533 -0.408663 1.751464 0.077335 -0.337836 1.856859 -0.017666 -0.147159 1.887661;
17, 1 0 -0.091792 -0.407627 1.751345 0.076191 -0.337568 1.85756 -0.017725 -0.146713 1.887893;
18, 1 0 -0.096752 -0.392248 1.749045 0.074997 -0.336925 1.857993 -0.017648 -0.146228 1.888102;
19, 1 0 -0.099868 -0.372588 1.746111 0.07856 -0.339942 1.85646 -0.017711 -0.145711 1.888167;
20, 1 0 -0.096853 -0.357219 1.747896 0.074343 -0.336417 1.857006 -0.01766 -0.145293 1.888302;
21, 1 0 -0.099126 -0.345759 1.746781 0.072311 -0.332553 1.857618 -0.017647 -0.144867 1.888419;
22, 1 0 -0.098905 -0.346156 1.747945 0.07973 -0.345099 1.848553 -0.017664 -0.144611 1.88839;
23, 1 0 -0.106547 -0.364686 1.74575 0.074882 -0.332958 1.855286 -0.017378 -0.144266 1.888515;
24, 1 0 -0.097273 -0.396075 1.752514 0.080671 -0.345767 1.847162 -0.017403 -0.144122 1.888538;
