0, 0 1 0.242042 -0.380741 1.921709 0.109121 -0.298986 2.057542 -0.029337 -0.143708 1.931393;
1, 0 1 0.241492 -0.381302 1.921742 0.10906 -0.299035 2.057608 -0.029313 -0.143721 1.931559;
2, 0 1 0.240996 -0.386055 1.920817 0.10962 -0.301252 2.05581 -0.029149 -0.143428 1.931755;
3, 0 1 0.236026 -0.404011 1.925389 0.110579 -0.303786 2.054917 -0.029122 -0.143345 1.931813;
4, 0 1 0.234425 -0.411516 1.925025 0.111483 -0.307471 2.054114 -0.029052 -0.143194 1.931798;
5, 0 1 0.231775 -0.414563 1.924428 0.110514 -0.309436 2.054504 -0.029079 -0.14303 1.931967;
6, 0 1 0.228383 -0.41476 1.92442 0.108205 -0.310282 2.056303 -0.029178 -0.142733 1.932375;
7, 0 1 0.227624 -0.414588 1.9238 0.107588 -0.31077 2.056516 -0.029314 -0.14246 1.932865;
8, 0 1 0.227691 -0.415059 1.923419 0.107509 -0.311631 2.056445 -0.029521 -0.142284 1.933259;
9, 0 1 0.227808 -0.415824 1.924078 0.10729 -0.311822 2.056413 -0.029783 -0.141964 1.933524;
10, 0 1 0.227332 -0.416962 1.925836 0.106302 -0.310601 2.056052 -0.030143 -0.141233 1.933685;
11, 0 1 0.231042 -0.417119 1.922173 0.104519 -0.319973 2.056255 -0.030329 -0.140825 1.933692;
12, 0 1 0.227252 -0.408908 1.924146 0.096504 -0.320864 2.061199 -0.030407 -0.140303 1.933812;
13, 0 1 0.223813 -0.403027 1.92696 0.090195 -0.321682 2.065775 -0.030515 -0.139927 1.934107;
14, 0 1 0.211922 -0.393236 1.937818 0.080956 -0.328353 2.090023 -0.030569 -0.139718 1.934157;
15, 0 1 0.214418 -0.394249 1.935924 0.07915 -0.328839 2.084854 -0.030559 -0.139546 1.934139;
16, 0 1 0.21038 -0.394501 1.943208 0.071528 -0.321397 2.084667 -0.030539 -0.139442 1.934126;
17, 0 1 0.211027 -0.399146 1.946431 0.071115 -0.318824 2.082208 -0.030538 -0.139338 1.93412;
18, 0 1 0.218567 -0.405374 1.939533 0.079469 -0.322173 2.074196 -0.030498 -0.139292 1.934017;
19, 0 1 0.218074 -0.404867 1.93911 0.079416 -0.321876 2.074286 -0.030409 -0.139204 1.934012;
20, 0 1 0.222991 -0.409423 1.933542 0.089838 -0.31371 2.065026 -0.030313 -0.139103 1.934006;
21, 0 1 0.222911 -0.40844 1.932699 0.088086 -0.317797 2.065944 -0.030204 -0.139071 1.933803;
22, 0 1 0.221245 -0.408167 1.934566 0.085313 -0.318972 2.067476 -0.030096 -0.138996 1.933698;
23, 0 1 0.220613 -0.410774 1.935134 0.08521 -0.319826 2.067183 -0.030016 -0.138909 1.933524;
24, 0 1 0.220728 -0.411581 1.935201 0.085359 -0.320351 2.066972 -0.030041 -0.138786 1.933498;
25, 0 1 0.220421 -0.410772 1.934331 0.0851 -0.321193 2.067318 -0.02996 -0.138743 1.933427;
26, 0 1 0.219375 -0.409076 1.934686 0.083855 -0.321092 2.068568 -0.029848 -0.138544 1.933329;
27, 0 1 0.218891 -0.407658 1.934074 0.083145 -0.321261 2.068808 -0.029738 -0.138413 1.933249;
28, 0 1 0.218783 -0.407134 1.934152 0.082477 -0.321784 2.069001 -0.02966 -0.138322 1.933185;
29, 0 1 0.218609 -0.407335 1.934829 0.081964 -0.322209 2.069484 -0.029644 -0.138264 1.933076;
30, 0 1 0.224111 -0.414958 1.93131 0.092593 -0.316079 2.061082 -0.029624 -0.138228 1.933072;
31, 0 1 0.225974 -0.416915 1.930532 0.092823 -0.320572 2.060541 -0.029632 -0.138143 1.933068;
32, 0 1 0.218702 -0.410152 1.936923 0.082973 -0.320687 2.069383 -0.0295 -0.138039 1.933187;
33, 0 1 0.216412 -0.406761 1.937297 0.080406 -0.321589 2.072518 -0.029455 -0.138 1.933263;
34, 0 1 0.211314 -0.399995 1.940473 0.078108 -0.329882 2.087744 -0.029352 -0.137947 1.933354;
35, 0 1 0.211609 -0.400353 1.940767 0.076592 -0.326002 2.084275 -0.029254 -0.13792 1.933289;
36, 0 1 0.21298 -0.402602 1.942074 0.076558 -0.324616 2.082248 -0.029162 -0.137861 1.933277;
37, 0 1 0.214889 -0.403805 1.940664 0.077852 -0.324548 2.079559 -0.029122 -0.13785 1.933236;
38, 0 1 0.215227 -0.403733 1.940421 0.078058 -0.324595 2.079346 -0.029171 -0.137816 1.933264;
39, 0 1 0.215101 -0.401752 1.939404 0.07659 -0.326775 2.079501 -0.029007 -0.137554 1.933763;
40, 0 1 0.211893 -0.397085 1.94313 0.071503 -0.325501 2.083255 -0.029041 -0.13733 1.933923;
41, 0 1 0.20584 -0.395424 1.953111 0.065094 -0.326715 2.100574 -0.029048 -0.13728 1.934106;
42, 0 1 0.230203 -0.418576 1.935473 0.100918 -0.307206 2.057935 -0.029057 -0.137284 1.934174;
43, 0 1 0.221845 -0.412404 1.945564 0.084217 -0.319322 2.074576 -0.029146 -0.137182 1.934275;
44, 0 1 0.215231 -0.408531 1.950222 0.077085 -0.319732 2.081916 -0.029235 -0.137164 1.934304;
45, 0 1 0.214141 -0.406723 1.948359 0.075671 -0.321096 2.081962 -0.029278 -0.13703 1.934476;
46, 0 1 0.210975 -0.404113 1.9492 0.07187 -0.320695 2.083634 -0.029355 -0.136929 1.9345;
47, 0 1 0.210092 -0.404465 1.949449 0.072354 -0.314123 2.080449 -0.029362 -0.13691 1.934509;
48, 0 1 0.21113 -0.408532 1.94962 0.073154 -0.31626 2.078803 -0.029339 -0.136922 1.934555;
49, 0 1 0.225222 -0.424034 1.937501 0.09657 -0.313698 2.061405 -0.029342 -0.136935 1.934544;
50, 0 1 0.222467 -0.415735 1.937079 0.090553 -0.314946 2.065876 -0.029303 -0.137014 1.934608;
51, 0 1 0.212806 -0.396273 1.941301 0.072605 -0.318577 2.077716 -0.029138 -0.137054 1.935176;
52, 0 1 0.20741 -0.386828 1.9433 0.066849 -0.323901 2.097489 -0.029079 -0.137066 1.935331;
53, 0 1 0.228815 -0.392556 1.921372 0.087177 -0.336475 2.067152 -0.028961 -0.137071 1.935491;
54, 0 1 0.20968 -0.386578 1.940174 0.061934 -0.32764 2.101907 -0.028912 -0.137057 1.935505;
55, 0 1 0.203676 -0.400903 1.955178 0.064629 -0.318563 2.089941 -0.028885 -0.13704 1.935516;
56, 0 1 0.21321 -0.413127 1.946187 0.076387 -0.324322 2.078918 -0.028873 -0.137039 1.935388;
57, 0 1 0.208823 -0.410713 1.947501 0.072312 -0.320561 2.07959 -0.028866 -0.137019 1.935343;
58, 0 1 0.208025 -0.408944 1.944894 0.071963 -0.320723 2.078822 -0.028874 -0.136839 1.935378;
59, 0 1 0.208233 -0.407226 1.942655 0.072066 -0.321649 2.078266 -0.02884 -0.136764 1.935522;
60, 0 1 0.208645 -0.406774 1.942028 0.071982 -0.322265 2.077805 -0.028756 -0.136705 1.935659;
61, 0 1 0.208676 -0.406622 1.942485 0.071716 -0.322345 2.078079 -0.028766 -0.136685 1.935695;
62, 0 1 0.207511 -0.409462 1.946654 0.074137 -0.310285 2.075077 -0.028794 -0.136692 1.935731;
63, 0 1 0.217442 -0.41864 1.936942 0.088558 -0.310067 2.061989 -0.028821 -0.136591 1.935639;
64, 0 1 0.209831 -0.409408 1.942775 0.074093 -0.31973 2.075882 -0.028826 -0.13647 1.935705;
65, 0 1 0.199053 -0.398035 1.949405 0.064699 -0.325887 2.097976 -0.028699 -0.136066 1.936028;
66, 0 1 0.201303 -0.397949 1.946339 0.065357 -0.328535 2.091611 -0.028615 -0.135809 1.936267;
